"Time","Temp","TName","InitialT","Trial"
0,64.4,"T1",64.4,"T1 (56.5°C)"
0.033333,64.4,"T1",64.4,"T1 (56.5°C)"
0.066667,64.3,"T1",64.4,"T1 (56.5°C)"
0.1,64.3,"T1",64.4,"T1 (56.5°C)"
0.133333,64.3,"T1",64.4,"T1 (56.5°C)"
0.166667,64.3,"T1",64.4,"T1 (56.5°C)"
0.2,64.3,"T1",64.4,"T1 (56.5°C)"
0.233333,64.3,"T1",64.4,"T1 (56.5°C)"
0.266667,64.2,"T1",64.4,"T1 (56.5°C)"
0.3,64.2,"T1",64.4,"T1 (56.5°C)"
0.333333,64.2,"T1",64.4,"T1 (56.5°C)"
0.366667,64.2,"T1",64.4,"T1 (56.5°C)"
0.4,64.1,"T1",64.4,"T1 (56.5°C)"
0.433333,64.1,"T1",64.4,"T1 (56.5°C)"
0.466667,64.1,"T1",64.4,"T1 (56.5°C)"
0.5,64,"T1",64.4,"T1 (56.5°C)"
0.533333,64,"T1",64.4,"T1 (56.5°C)"
0.566667,64,"T1",64.4,"T1 (56.5°C)"
0.6,64,"T1",64.4,"T1 (56.5°C)"
0.633333,64,"T1",64.4,"T1 (56.5°C)"
0.666667,63.9,"T1",64.4,"T1 (56.5°C)"
0.7,63.9,"T1",64.4,"T1 (56.5°C)"
0.733333,63.9,"T1",64.4,"T1 (56.5°C)"
0.766667,63.9,"T1",64.4,"T1 (56.5°C)"
0.8,63.8,"T1",64.4,"T1 (56.5°C)"
0.833333,63.8,"T1",64.4,"T1 (56.5°C)"
0.866667,63.8,"T1",64.4,"T1 (56.5°C)"
0.9,63.8,"T1",64.4,"T1 (56.5°C)"
0.933333,63.7,"T1",64.4,"T1 (56.5°C)"
0.966667,63.7,"T1",64.4,"T1 (56.5°C)"
1,63.7,"T1",64.4,"T1 (56.5°C)"
1.033333,63.7,"T1",64.4,"T1 (56.5°C)"
1.066667,63.7,"T1",64.4,"T1 (56.5°C)"
1.1,63.6,"T1",64.4,"T1 (56.5°C)"
1.133333,63.6,"T1",64.4,"T1 (56.5°C)"
1.166667,63.6,"T1",64.4,"T1 (56.5°C)"
1.2,63.6,"T1",64.4,"T1 (56.5°C)"
1.233333,63.6,"T1",64.4,"T1 (56.5°C)"
1.266667,63.5,"T1",64.4,"T1 (56.5°C)"
1.3,63.5,"T1",64.4,"T1 (56.5°C)"
1.333333,63.5,"T1",64.4,"T1 (56.5°C)"
1.366667,63.5,"T1",64.4,"T1 (56.5°C)"
1.4,63.4,"T1",64.4,"T1 (56.5°C)"
1.433333,63.4,"T1",64.4,"T1 (56.5°C)"
1.466667,63.4,"T1",64.4,"T1 (56.5°C)"
1.5,63.4,"T1",64.4,"T1 (56.5°C)"
1.533333,63.4,"T1",64.4,"T1 (56.5°C)"
1.566667,63.4,"T1",64.4,"T1 (56.5°C)"
1.6,63.3,"T1",64.4,"T1 (56.5°C)"
1.633333,63.3,"T1",64.4,"T1 (56.5°C)"
1.666667,63.3,"T1",64.4,"T1 (56.5°C)"
1.7,63.3,"T1",64.4,"T1 (56.5°C)"
1.733333,63.3,"T1",64.4,"T1 (56.5°C)"
1.766667,63.3,"T1",64.4,"T1 (56.5°C)"
1.8,63.3,"T1",64.4,"T1 (56.5°C)"
1.833333,63.2,"T1",64.4,"T1 (56.5°C)"
1.866667,63.2,"T1",64.4,"T1 (56.5°C)"
1.9,63.2,"T1",64.4,"T1 (56.5°C)"
1.933333,63.2,"T1",64.4,"T1 (56.5°C)"
1.966667,63.2,"T1",64.4,"T1 (56.5°C)"
2,63.1,"T1",64.4,"T1 (56.5°C)"
2.033333,63.1,"T1",64.4,"T1 (56.5°C)"
2.066667,63.1,"T1",64.4,"T1 (56.5°C)"
2.1,63.1,"T1",64.4,"T1 (56.5°C)"
2.133333,63.1,"T1",64.4,"T1 (56.5°C)"
2.166667,63.1,"T1",64.4,"T1 (56.5°C)"
2.2,63.1,"T1",64.4,"T1 (56.5°C)"
2.233333,63,"T1",64.4,"T1 (56.5°C)"
2.266667,63,"T1",64.4,"T1 (56.5°C)"
2.3,63,"T1",64.4,"T1 (56.5°C)"
2.333333,63,"T1",64.4,"T1 (56.5°C)"
2.366667,63,"T1",64.4,"T1 (56.5°C)"
2.4,62.9,"T1",64.4,"T1 (56.5°C)"
2.433333,62.9,"T1",64.4,"T1 (56.5°C)"
2.466667,62.9,"T1",64.4,"T1 (56.5°C)"
2.5,62.9,"T1",64.4,"T1 (56.5°C)"
2.533333,62.9,"T1",64.4,"T1 (56.5°C)"
2.566667,62.9,"T1",64.4,"T1 (56.5°C)"
2.6,62.8,"T1",64.4,"T1 (56.5°C)"
2.633333,62.8,"T1",64.4,"T1 (56.5°C)"
2.666667,62.8,"T1",64.4,"T1 (56.5°C)"
2.7,62.8,"T1",64.4,"T1 (56.5°C)"
2.733333,62.8,"T1",64.4,"T1 (56.5°C)"
2.766667,62.8,"T1",64.4,"T1 (56.5°C)"
2.8,62.8,"T1",64.4,"T1 (56.5°C)"
2.833333,62.7,"T1",64.4,"T1 (56.5°C)"
2.866667,62.7,"T1",64.4,"T1 (56.5°C)"
2.9,62.7,"T1",64.4,"T1 (56.5°C)"
2.933333,62.7,"T1",64.4,"T1 (56.5°C)"
2.966667,62.7,"T1",64.4,"T1 (56.5°C)"
3,62.7,"T1",64.4,"T1 (56.5°C)"
3.033333,62.7,"T1",64.4,"T1 (56.5°C)"
3.066667,62.6,"T1",64.4,"T1 (56.5°C)"
3.1,62.6,"T1",64.4,"T1 (56.5°C)"
3.133333,62.6,"T1",64.4,"T1 (56.5°C)"
3.166667,62.6,"T1",64.4,"T1 (56.5°C)"
3.2,62.6,"T1",64.4,"T1 (56.5°C)"
3.233333,62.6,"T1",64.4,"T1 (56.5°C)"
3.266667,62.6,"T1",64.4,"T1 (56.5°C)"
3.3,62.5,"T1",64.4,"T1 (56.5°C)"
3.333333,62.6,"T1",64.4,"T1 (56.5°C)"
3.366667,62.5,"T1",64.4,"T1 (56.5°C)"
3.4,62.5,"T1",64.4,"T1 (56.5°C)"
3.433333,62.5,"T1",64.4,"T1 (56.5°C)"
3.466667,62.5,"T1",64.4,"T1 (56.5°C)"
3.5,62.5,"T1",64.4,"T1 (56.5°C)"
3.533333,62.4,"T1",64.4,"T1 (56.5°C)"
3.566667,62.4,"T1",64.4,"T1 (56.5°C)"
3.6,62.4,"T1",64.4,"T1 (56.5°C)"
3.633333,62.4,"T1",64.4,"T1 (56.5°C)"
3.666667,62.4,"T1",64.4,"T1 (56.5°C)"
3.7,62.4,"T1",64.4,"T1 (56.5°C)"
3.733333,62.4,"T1",64.4,"T1 (56.5°C)"
3.766667,62.3,"T1",64.4,"T1 (56.5°C)"
3.8,62.3,"T1",64.4,"T1 (56.5°C)"
3.833333,62.3,"T1",64.4,"T1 (56.5°C)"
3.866667,62.3,"T1",64.4,"T1 (56.5°C)"
