Data Set 1:Time(min),Data Set 1:Temperature(°C)
0.000000,69.0
0.033333,69.1
0.066667,69.1
0.100000,69.1
0.133333,69.1
0.166667,69.1
0.200000,69.1
0.233333,69.1
0.266667,69.1
0.300000,69.1
0.333333,69.1
0.366667,69.0
0.400000,69.0
0.433333,69.0
0.466667,68.9
0.500000,68.9
0.533333,68.9
0.566667,68.9
0.600000,68.8
0.633333,68.8
0.666667,68.8
0.700000,68.8
0.733333,68.7
0.766667,68.7
0.800000,68.7
0.833333,68.7
0.866667,68.6
0.900000,68.6
0.933333,68.6
0.966667,68.5
1.000000,68.5
1.033333,68.5
1.066667,68.5
1.100000,68.5
1.133333,68.4
1.166667,68.4
1.200000,68.4
1.233333,68.3
1.266667,68.3
1.300000,68.3
1.333333,68.3
1.366667,68.2
1.400000,68.2
1.433333,68.2
1.466667,68.2
1.500000,68.2
1.533333,68.1
1.566667,68.1
1.600000,68.1
1.633333,68.1
1.666667,68.0
1.700000,68.0
1.733333,68.0
1.766667,68.0
1.800000,68.0
1.833333,67.9
1.866667,67.9
1.900000,67.9
1.933333,67.9
1.966667,67.8
2.000000,67.8
2.033333,67.8
2.066667,67.8
2.100000,67.8
2.133333,67.7
2.166667,67.7
2.200000,67.7
2.233333,67.7
2.266667,67.7
2.300000,67.7
2.333333,67.6
2.366667,67.6
2.400000,67.6
2.433333,67.6
2.466667,67.6
2.500000,67.5
2.533333,67.5
2.566667,67.5
2.600000,67.5
2.633333,67.4
2.666667,67.4
2.700000,67.4
2.733333,67.4
2.766667,67.4
2.800000,67.4
2.833333,67.3
2.866667,67.3
2.900000,67.3
2.933333,67.3
2.966667,67.3
3.000000,67.2
3.033333,67.2
3.066667,67.2
3.100000,67.2
3.133333,67.1
3.166667,67.1
3.200000,67.1
3.233333,67.1
3.266667,67.1
3.300000,67.1
3.333333,67.1
3.366667,67.0
3.400000,67.0
3.433333,67.0
3.466667,67.0
3.500000,66.9
3.533333,66.9
3.566667,66.9
3.600000,66.9
3.633333,66.9
3.666667,66.9
3.700000,66.9
3.733333,66.8
3.766667,66.8
3.800000,66.8
3.833333,66.8
3.866667,66.8
3.900000,66.7
3.933333,66.7
3.966667,66.7
4.000000,66.7
4.033333,66.7
4.066667,66.7
4.100000,66.6
4.133333,66.6
4.166667,66.6
4.200000,66.6
4.233333,66.6
4.266667,66.5
4.300000,66.5
4.333333,66.5
4.366667,66.5
4.400000,66.5
4.433333,66.5
4.466667,66.4
4.500000,66.4
4.533333,66.4
4.566667,66.4
4.600000,66.4
4.633333,66.4
4.666667,66.3
4.700000,66.3
4.733333,66.3
4.766667,66.3
4.800000,66.3
4.833333,66.3
4.866667,66.2
4.900000,66.2
4.933333,66.2
4.966667,66.2
5.000000,66.2
5.033333,66.2
5.066667,66.1
5.100000,66.1
5.133333,66.1
5.166667,66.1
5.200000,66.1
5.233333,66.1
5.266667,66.0
5.300000,66.0
5.333333,66.0
5.366667,66.0
5.400000,66.0
5.433333,66.0
5.466667,65.9
5.500000,65.9
5.533333,65.9
5.566667,65.9
5.600000,65.9
5.633333,65.9
5.666667,65.8
5.700000,65.8
5.733333,65.8
5.766667,65.8
5.800000,65.8
5.833333,65.8
5.866667,65.8
5.900000,65.7
5.933333,65.7
5.966667,65.7
6.000000,65.7
6.033333,65.7
6.066667,65.7
6.100000,65.7
6.133333,65.6
6.166667,65.6
6.200000,65.6
6.233333,65.6
6.266667,65.6
6.300000,65.6
6.333333,65.5
6.366667,65.5
6.400000,65.5
6.433333,65.5
6.466667,65.5
6.500000,65.5
6.533333,65.5
6.566667,65.4
6.600000,65.4
6.633333,65.4
6.666667,65.4
6.700000,65.4
6.733333,65.3
6.766667,65.3
6.800000,65.3
6.833333,65.3
6.866667,65.3
6.900000,65.3
6.933333,65.3
6.966667,65.2
7.000000,65.3
7.033333,65.2
7.066667,65.2
7.100000,65.2
7.133333,65.2
7.166667,65.2
7.200000,65.1
7.233333,65.1
7.266667,65.1
7.300000,65.1
7.333333,65.1
7.366667,65.1
7.400000,65.1
7.433333,65.1
7.466667,65.1
7.500000,65.0
7.533333,65.0
7.566667,65.0
7.600000,65.0
7.633333,65.0
7.666667,64.9
7.700000,64.9
7.733333,64.9
7.766667,64.9
7.800000,64.9
7.833333,64.9
7.866667,64.9
7.900000,64.9
7.933333,64.8
7.966667,64.8
8.000000,64.8
8.033333,64.8
8.066667,64.8
8.100000,64.8
8.133333,64.7
8.166667,64.7
8.200000,64.7
8.233333,64.7
8.266667,64.7
8.300000,64.7
8.333333,64.7
8.366667,64.6
8.400000,64.6
8.433333,64.6
8.466667,64.6
8.500000,64.6
8.533333,64.6
8.566667,64.6
8.600000,64.6
8.633333,64.5
8.666667,64.5
8.700000,64.5
8.733333,64.5
8.766667,64.5
8.800000,64.5
8.833333,64.4
8.866667,64.4
8.900000,64.4
8.933333,64.4
8.966667,64.4
9.000000,64.4
9.033333,64.4
9.066667,64.3
9.100000,64.3
9.133333,64.3
9.166667,64.3
9.200000,64.3
9.233333,64.3
9.266667,64.3
9.300000,64.3
9.333333,64.3
9.366667,64.2
9.400000,64.2
9.433333,64.2
9.466667,64.2
9.500000,64.2
9.533333,64.2
9.566667,64.2
9.600000,64.2
9.633333,64.1
9.666667,64.1
9.700000,64.1
9.733333,64.1
9.766667,64.1
9.800000,64.1
9.833333,64.1
9.866667,64.0
9.900000,64.0
9.933333,64.0
9.966667,64.0
10.000000,64.0
10.033333,64.0
10.066667,64.0
10.100000,64.0
10.133333,63.9
10.166667,63.9
10.200000,63.9
10.233333,63.9
10.266667,63.9
10.300000,63.9
10.333333,63.9
10.366667,63.8
10.400000,63.8
10.433333,63.8
10.466667,63.8
10.500000,63.8
10.533333,63.8
10.566667,63.8
10.600000,63.8
10.633333,63.8
10.666667,63.7
10.700000,63.7
10.733333,63.7
10.766667,63.7
10.800000,63.7
10.833333,63.7
10.866667,63.7
10.900000,63.6
10.933333,63.6
10.966667,63.6
11.000000,63.6
11.033333,63.6
11.066667,63.6
11.100000,63.6
11.133333,63.6
11.166667,63.5
11.200000,63.5
11.233333,63.5
11.266667,63.5
11.300000,63.5
11.333333,63.5
11.366667,63.5
11.400000,63.4
11.433333,63.4
11.466667,63.4
11.500000,63.4
11.533333,63.4
11.566667,63.4
11.600000,63.4
11.633333,63.4
11.666667,63.4
11.700000,63.3
11.733333,63.3
11.766667,63.3
11.800000,63.3
11.833333,63.3
11.866667,63.3
11.900000,63.3
11.933333,63.3
11.966667,63.3
12.000000,63.2
12.033333,63.2
12.066667,63.2
12.100000,63.2
12.133333,63.2
12.166667,63.2
12.200000,63.2
12.233333,63.1
12.266667,63.1
12.300000,63.1
12.333333,63.1
12.366667,63.1
12.400000,63.1
12.433333,63.1
12.466667,63.1
12.500000,63.1
12.533333,63.1
12.566667,63.1
12.600000,63.0
12.633333,63.0
12.666667,63.0
12.700000,63.0
12.733333,63.0
12.766667,63.0
12.800000,63.0
12.833333,62.9
12.866667,62.9
12.900000,62.9
12.933333,62.9
12.966667,62.9
13.000000,62.9
13.033333,62.9
13.066667,62.9
13.100000,62.9
13.133333,62.8
13.166667,62.8
13.200000,62.8
13.233333,62.8
13.266667,62.8
13.300000,62.8
13.333333,62.8
13.366667,62.8
13.400000,62.7
13.433333,62.7
13.466667,62.7
13.500000,62.7
13.533333,62.7
13.566667,62.7
13.600000,62.7
13.633333,62.7
13.666667,62.7
13.700000,62.6
13.733333,62.6
13.766667,62.6
13.800000,62.6
13.833333,62.6
13.866667,62.6
13.900000,62.6
13.933333,62.6
13.966667,62.6
14.000000,62.5
14.033333,62.5
14.066667,62.5
14.100000,62.5
14.133333,62.5
14.166667,62.5
14.200000,62.5
14.233333,62.4
14.266667,62.4
14.300000,62.4
14.333333,62.4
14.366667,62.4
14.400000,62.4
14.433333,62.4
14.466667,62.4
14.500000,62.4
14.533333,62.4
14.566667,62.3
14.600000,62.3
14.633333,62.3
14.666667,62.3
14.700000,62.3
14.733333,62.3
14.766667,62.3
14.800000,62.3
14.833333,62.3
14.866667,62.2
14.900000,62.2
14.933333,62.2
14.966667,62.2
15.000000,62.2
15.033333,62.2
15.066667,62.2
15.100000,62.2
15.133333,62.2
15.166667,62.1
15.200000,62.1
15.233333,62.1
15.266667,62.1
15.300000,62.1
15.333333,62.1
15.366667,62.1
15.400000,62.1
15.433333,62.1
15.466667,62.1
15.500000,62.1
15.533333,62.0
15.566667,62.0
15.600000,62.0
15.633333,62.0
15.666667,62.0
15.700000,62.0
15.733333,62.0
15.766667,61.9
15.800000,61.9
15.833333,61.9
15.866667,61.9
15.900000,61.9
15.933333,61.9
15.966667,61.9
16.000000,61.9
16.033333,61.9
16.066667,61.9
16.100000,61.8
16.133333,61.8
16.166667,61.8
16.200000,61.8
16.233333,61.8
16.266667,61.8
16.300000,61.8
16.333333,61.8
16.366667,61.8
16.400000,61.8
16.433333,61.8
16.466667,61.7
16.500000,61.7
16.533333,61.7
16.566667,61.7
16.600000,61.7
16.633333,61.7
16.666667,61.7
16.700000,61.7
16.733333,61.6
16.766667,61.6
16.800000,61.6
16.833333,61.6
16.866667,61.6
16.900000,61.6
16.933333,61.6
16.966667,61.6
17.000000,61.6
17.033333,61.6
