Data Set 1:Time(min),Data Set 1:Temperature(°C)
0.000000,63.7
0.033333,63.7
0.066667,63.7
0.100000,63.7
0.133333,63.7
0.166667,63.7
0.200000,63.6
0.233333,63.6
0.266667,63.6
0.300000,63.6
0.333333,63.6
0.366667,63.6
0.400000,63.6
0.433333,63.6
0.466667,63.5
0.500000,63.5
0.533333,63.5
0.566667,63.5
0.600000,63.5
0.633333,63.4
0.666667,63.4
0.700000,63.4
0.733333,63.4
0.766667,63.4
0.800000,63.4
0.833333,63.4
0.866667,63.4
0.900000,63.3
0.933333,63.3
0.966667,63.3
1.000000,63.3
1.033333,63.3
1.066667,63.3
1.100000,63.3
1.133333,63.2
1.166667,63.3
1.200000,63.2
1.233333,63.2
1.266667,63.2
1.300000,63.2
1.333333,63.2
1.366667,63.2
1.400000,63.2
1.433333,63.1
1.466667,63.1
1.500000,63.1
1.533333,63.1
1.566667,63.1
1.600000,63.1
1.633333,63.1
1.666667,63.1
1.700000,63.1
1.733333,63.0
1.766667,63.0
1.800000,63.0
1.833333,63.0
1.866667,63.0
1.900000,63.0
1.933333,63.0
1.966667,62.9
2.000000,62.9
2.033333,62.9
2.066667,62.9
2.100000,62.9
2.133333,62.9
2.166667,62.9
2.200000,62.9
2.233333,62.9
2.266667,62.9
2.300000,62.8
2.333333,62.8
2.366667,62.8
2.400000,62.8
2.433333,62.8
2.466667,62.8
2.500000,62.8
2.533333,62.7
2.566667,62.7
2.600000,62.7
2.633333,62.7
2.666667,62.7
2.700000,62.7
2.733333,62.7
2.766667,62.7
2.800000,62.7
2.833333,62.7
2.866667,62.7
2.900000,62.6
2.933333,62.6
2.966667,62.6
3.000000,62.6
3.033333,62.6
3.066667,62.6
3.100000,62.6
3.133333,62.6
3.166667,62.5
3.200000,62.5
3.233333,62.5
3.266667,62.5
3.300000,62.5
3.333333,62.5
3.366667,62.5
3.400000,62.5
3.433333,62.5
3.466667,62.4
3.500000,62.4
3.533333,62.4
3.566667,62.4
3.600000,62.4
3.633333,62.4
3.666667,62.4
3.700000,62.4
3.733333,62.4
3.766667,62.4
3.800000,62.4
3.833333,62.3
3.866667,62.3
3.900000,62.3
3.933333,62.3
3.966667,62.3
4.000000,62.3
4.033333,62.3
4.066667,62.3
4.100000,62.2
4.133333,62.2
4.166667,62.2
4.200000,62.2
4.233333,62.2
4.266667,62.2
4.300000,62.2
4.333333,62.2
4.366667,62.2
4.400000,62.1
4.433333,62.1
4.466667,62.1
4.500000,62.1
4.533333,62.1
4.566667,62.1
4.600000,62.1
4.633333,62.1
4.666667,62.1
4.700000,62.1
4.733333,62.1
4.766667,62.0
4.800000,62.0
4.833333,62.0
4.866667,62.0
4.900000,62.0
4.933333,62.0
4.966667,62.0
5.000000,62.0
5.033333,62.0
5.066667,61.9
5.100000,61.9
5.133333,61.9
5.166667,61.9
5.200000,61.9
5.233333,61.9
5.266667,61.9
5.300000,61.9
5.333333,61.8
5.366667,61.8
5.400000,61.8
5.433333,61.8
5.466667,61.8
5.500000,61.8
5.533333,61.8
5.566667,61.8
5.600000,61.8
5.633333,61.8
5.666667,61.8
5.700000,61.8
5.733333,61.8
5.766667,61.7
5.800000,61.7
5.833333,61.7
5.866667,61.7
5.900000,61.7
5.933333,61.7
5.966667,61.7
6.000000,61.6
6.033333,61.6
6.066667,61.6
6.100000,61.6
6.133333,61.6
6.166667,61.6
6.200000,61.6
6.233333,61.6
6.266667,61.5
6.300000,61.6
6.333333,61.5
6.366667,61.5
6.400000,61.5
6.433333,61.5
6.466667,61.5
6.500000,61.5
6.533333,61.5
6.566667,61.5
6.600000,61.5
6.633333,61.5
6.666667,61.5
6.700000,61.4
6.733333,61.4
6.766667,61.4
6.800000,61.4
6.833333,61.4
6.866667,61.4
6.900000,61.4
6.933333,61.4
6.966667,61.4
7.000000,61.4
7.033333,61.3
7.066667,61.3
7.100000,61.3
7.133333,61.3
7.166667,61.3
7.200000,61.3
7.233333,61.3
7.266667,61.3
7.300000,61.3
7.333333,61.3
7.366667,61.2
7.400000,61.2
7.433333,61.2
7.466667,61.2
7.500000,61.2
7.533333,61.2
7.566667,61.2
7.600000,61.2
7.633333,61.2
7.666667,61.2
7.700000,61.1
7.733333,61.1
7.766667,61.1
7.800000,61.1
7.833333,61.1
7.866667,61.1
7.900000,61.1
7.933333,61.0
7.966667,61.0
8.000000,61.1
8.033333,61.0
8.066667,61.0
8.100000,61.0
8.133333,61.0
8.166667,61.0
8.200000,61.0
8.233333,61.0
8.266667,61.0
8.300000,60.9
8.333333,60.9
8.366667,60.9
8.400000,60.9
8.433333,60.9
8.466667,60.9
8.500000,60.9
8.533333,60.9
8.566667,60.9
8.600000,60.9
8.633333,60.9
8.666667,60.9
8.700000,60.8
8.733333,60.8
8.766667,60.8
8.800000,60.8
8.833333,60.8
8.866667,60.8
8.900000,60.8
8.933333,60.8
8.966667,60.8
9.000000,60.8
9.033333,60.7
9.066667,60.7
9.100000,60.7
9.133333,60.7
9.166667,60.7
9.200000,60.7
9.233333,60.7
9.266667,60.7
9.300000,60.6
9.333333,60.7
9.366667,60.6
9.400000,60.6
9.433333,60.6
9.466667,60.6
9.500000,60.6
9.533333,60.6
9.566667,60.6
9.600000,60.6
9.633333,60.6
9.666667,60.6
9.700000,60.5
9.733333,60.5
9.766667,60.5
9.800000,60.5
9.833333,60.5
9.866667,60.5
9.900000,60.5
9.933333,60.5
9.966667,60.5
10.000000,60.5
10.033333,60.4
10.066667,60.4
10.100000,60.4
10.133333,60.4
10.166667,60.4
10.200000,60.4
10.233333,60.4
10.266667,60.4
10.300000,60.4
10.333333,60.4
10.366667,60.3
10.400000,60.3
10.433333,60.3
10.466667,60.3
10.500000,60.3
10.533333,60.3
10.566667,60.3
10.600000,60.3
10.633333,60.3
10.666667,60.3
10.700000,60.3
10.733333,60.3
10.766667,60.2
10.800000,60.2
10.833333,60.2
10.866667,60.2
10.900000,60.2
10.933333,60.2
10.966667,60.2
11.000000,60.2
11.033333,60.2
11.066667,60.2
11.100000,60.1
11.133333,60.1
11.166667,60.1
11.200000,60.1
11.233333,60.1
