Data Set 1:Time(min),Data Set 1:Temperature(°C),Data Set 2:Time(min),Data Set 2:Temperature(°C)
0.000000,66.7,0.000000,67.1
0.033333,66.9,0.033333,67.1
0.066667,67.0,0.066667,67.1
0.100000,67.1,0.100000,67.1
0.133333,67.2,0.133333,67.1
0.166667,67.2,0.166667,67.0
0.200000,67.3,0.200000,67.0
0.233333,67.3,0.233333,67.0
0.266667,67.3,0.266667,66.9
0.300000,67.3,0.300000,66.9
0.333333,67.3,0.333333,66.9
0.366667,67.3,0.366667,66.9
0.400000,67.3,0.400000,66.8
0.433333,67.3,0.433333,66.8
0.466667,67.3,0.466667,66.8
0.500000,67.2,0.500000,66.8
,,0.533333,66.8
,,0.566667,66.7
,,0.600000,66.7
,,0.633333,66.7
,,0.666667,66.7
,,0.700000,66.7
,,0.733333,66.6
,,0.766667,66.6
,,0.800000,66.6
,,0.833333,66.6
,,0.866667,66.5
,,0.900000,66.5
,,0.933333,66.5
,,0.966667,66.5
,,1.000000,66.5
,,1.033333,66.4
,,1.066667,66.4
,,1.100000,66.4
,,1.133333,66.4
,,1.166667,66.4
,,1.200000,66.3
,,1.233333,66.3
,,1.266667,66.3
,,1.300000,66.3
,,1.333333,66.2
,,1.366667,66.3
,,1.400000,66.2
,,1.433333,66.2
,,1.466667,66.2
,,1.500000,66.2
,,1.533333,66.1
,,1.566667,66.1
,,1.600000,66.1
,,1.633333,66.1
,,1.666667,66.1
,,1.700000,66.1
,,1.733333,66.0
,,1.766667,66.0
,,1.800000,66.0
,,1.833333,66.0
,,1.866667,66.0
,,1.900000,66.0
,,1.933333,65.9
,,1.966667,65.9
,,2.000000,65.9
,,2.033333,65.9
,,2.066667,65.8
,,2.100000,65.8
,,2.133333,65.8
,,2.166667,65.8
,,2.200000,65.8
,,2.233333,65.8
,,2.266667,65.7
,,2.300000,65.7
,,2.333333,65.7
,,2.366667,65.7
,,2.400000,65.7
,,2.433333,65.7
,,2.466667,65.6
,,2.500000,65.6
,,2.533333,65.6
,,2.566667,65.6
,,2.600000,65.6
,,2.633333,65.6
,,2.666667,65.5
,,2.700000,65.5
,,2.733333,65.5
,,2.766667,65.5
,,2.800000,65.5
,,2.833333,65.5
,,2.866667,65.4
,,2.900000,65.4
,,2.933333,65.4
,,2.966667,65.4
,,3.000000,65.4
,,3.033333,65.3
,,3.066667,65.3
,,3.100000,65.3
,,3.133333,65.3
,,3.166667,65.3
,,3.200000,65.3
,,3.233333,65.3
,,3.266667,65.2
,,3.300000,65.2
,,3.333333,65.2
,,3.366667,65.2
,,3.400000,65.2
,,3.433333,65.2
,,3.466667,65.1
,,3.500000,65.1
,,3.533333,65.1
,,3.566667,65.1
,,3.600000,65.1
,,3.633333,65.1
,,3.666667,65.1
,,3.700000,65.0
,,3.733333,65.0
,,3.766667,65.0
,,3.800000,65.0
,,3.833333,65.0
,,3.866667,65.0
,,3.900000,64.9
,,3.933333,64.9
,,3.966667,64.9
,,4.000000,64.9
,,4.033333,64.9
,,4.066667,64.9
,,4.100000,64.9
,,4.133333,64.8
,,4.166667,64.8
,,4.200000,64.8
,,4.233333,64.8
,,4.266667,64.8
,,4.300000,64.8
,,4.333333,64.8
,,4.366667,64.7
,,4.400000,64.7
,,4.433333,64.7
,,4.466667,64.7
,,4.500000,64.7
,,4.533333,64.6
,,4.566667,64.6
,,4.600000,64.6
,,4.633333,64.6
,,4.666667,64.6
,,4.700000,64.6
,,4.733333,64.6
,,4.766667,64.6
,,4.800000,64.5
,,4.833333,64.5
,,4.866667,64.5
,,4.900000,64.5
,,4.933333,64.5
,,4.966667,64.5
,,5.000000,64.5
,,5.033333,64.4
,,5.066667,64.4
,,5.100000,64.4
,,5.133333,64.4
,,5.166667,64.4
,,5.200000,64.4
,,5.233333,64.4
,,5.266667,64.3
,,5.300000,64.3
,,5.333333,64.3
,,5.366667,64.3
,,5.400000,64.3
,,5.433333,64.3
,,5.466667,64.3
,,5.500000,64.3
,,5.533333,64.2
,,5.566667,64.2
,,5.600000,64.2
,,5.633333,64.2
,,5.666667,64.2
,,5.700000,64.2
,,5.733333,64.1
,,5.766667,64.1
,,5.800000,64.1
,,5.833333,64.1
,,5.866667,64.1
,,5.900000,64.1
,,5.933333,64.1
,,5.966667,64.1
,,6.000000,64.0
,,6.033333,64.0
,,6.066667,64.0
,,6.100000,64.0
,,6.133333,64.0
,,6.166667,64.0
,,6.200000,64.0
,,6.233333,64.0
,,6.266667,63.9
,,6.300000,63.9
,,6.333333,63.9
,,6.366667,63.9
,,6.400000,63.9
,,6.433333,63.9
,,6.466667,63.9
,,6.500000,63.8
,,6.533333,63.8
,,6.566667,63.8
,,6.600000,63.8
,,6.633333,63.8
,,6.666667,63.8
,,6.700000,63.7
,,6.733333,63.7
,,6.766667,63.7
,,6.800000,63.7
,,6.833333,63.7
,,6.866667,63.7
,,6.900000,63.7
,,6.933333,63.7
,,6.966667,63.7
,,7.000000,63.6
,,7.033333,63.6
,,7.066667,63.6
,,7.100000,63.6
,,7.133333,63.6
,,7.166667,63.6
,,7.200000,63.6
,,7.233333,63.5
,,7.266667,63.5
,,7.300000,63.5
,,7.333333,63.5
,,7.366667,63.5
,,7.400000,63.5
,,7.433333,63.4
,,7.466667,63.4
,,7.500000,63.4
,,7.533333,63.4
,,7.566667,63.4
,,7.600000,63.4
,,7.633333,63.4
,,7.666667,63.4
,,7.700000,63.4
,,7.733333,63.3
,,7.766667,63.3
,,7.800000,63.3
,,7.833333,63.3
,,7.866667,63.3
,,7.900000,63.3
,,7.933333,63.3
,,7.966667,63.3
,,8.000000,63.3
,,8.033333,63.2
,,8.066667,63.2
,,8.100000,63.2
,,8.133333,63.2
,,8.166667,63.2
,,8.200000,63.2
,,8.233333,63.2
,,8.266667,63.2
,,8.300000,63.1
,,8.333333,63.1
,,8.366667,63.1
,,8.400000,63.1
,,8.433333,63.1
,,8.466667,63.1
,,8.500000,63.1
,,8.533333,63.1
,,8.566667,63.0
,,8.600000,63.0
,,8.633333,63.0
,,8.666667,63.0
,,8.700000,63.0
,,8.733333,63.0
,,8.766667,63.0
,,8.800000,63.0
,,8.833333,62.9
,,8.866667,62.9
,,8.900000,62.9
,,8.933333,62.9
,,8.966667,62.9
,,9.000000,62.9
,,9.033333,62.9
,,9.066667,62.8
,,9.100000,62.8
,,9.133333,62.8
,,9.166667,62.8
,,9.200000,62.8
,,9.233333,62.8
,,9.266667,62.8
,,9.300000,62.8
,,9.333333,62.8
,,9.366667,62.7
,,9.400000,62.7
,,9.433333,62.7
,,9.466667,62.7
,,9.500000,62.7
,,9.533333,62.7
,,9.566667,62.7
,,9.600000,62.7
,,9.633333,62.7
,,9.666667,62.7
