Data Set 1:Time(min),Data Set 1:Temperature(°C)
0,67.1
0.033333,67.1
0.066667,67.1
0.1,67.1
0.133333,67.1
0.166667,67
0.2,67
0.233333,67
0.266667,66.9
0.3,66.9
0.333333,66.9
0.366667,66.9
0.4,66.8
0.433333,66.8
0.466667,66.8
0.5,66.8
0.533333,66.8
0.566667,66.7
0.6,66.7
0.633333,66.7
0.666667,66.7
0.7,66.7
0.733333,66.6
0.766667,66.6
0.8,66.6
0.833333,66.6
0.866667,66.5
0.9,66.5
0.933333,66.5
0.966667,66.5
1,66.5
1.033333,66.4
1.066667,66.4
1.1,66.4
1.133333,66.4
1.166667,66.4
1.2,66.3
1.233333,66.3
1.266667,66.3
1.3,66.3
1.333333,66.2
1.366667,66.3
1.4,66.2
1.433333,66.2
1.466667,66.2
1.5,66.2
1.533333,66.1
1.566667,66.1
1.6,66.1
1.633333,66.1
1.666667,66.1
1.7,66.1
1.733333,66
1.766667,66
1.8,66
1.833333,66
1.866667,66
1.9,66
1.933333,65.9
1.966667,65.9
2,65.9
2.033333,65.9
2.066667,65.8
2.1,65.8
2.133333,65.8
2.166667,65.8
2.2,65.8
2.233333,65.8
2.266667,65.7
2.3,65.7
2.333333,65.7
2.366667,65.7
2.4,65.7
2.433333,65.7
2.466667,65.6
2.5,65.6
2.533333,65.6
2.566667,65.6
2.6,65.6
2.633333,65.6
2.666667,65.5
2.7,65.5
2.733333,65.5
2.766667,65.5
2.8,65.5
2.833333,65.5
2.866667,65.4
2.9,65.4
2.933333,65.4
2.966667,65.4
3,65.4
3.033333,65.3
3.066667,65.3
3.1,65.3
3.133333,65.3
3.166667,65.3
3.2,65.3
3.233333,65.3
3.266667,65.2
3.3,65.2
3.333333,65.2
3.366667,65.2
3.4,65.2
3.433333,65.2
3.466667,65.1
3.5,65.1
3.533333,65.1
3.566667,65.1
3.6,65.1
3.633333,65.1
3.666667,65.1
3.7,65
3.733333,65
3.766667,65
3.8,65
3.833333,65
3.866667,65
3.9,64.9
3.933333,64.9
3.966667,64.9
4,64.9
4.033333,64.9
4.066667,64.9
4.1,64.9
4.133333,64.8
4.166667,64.8
4.2,64.8
4.233333,64.8
4.266667,64.8
4.3,64.8
4.333333,64.8
4.366667,64.7
4.4,64.7
4.433333,64.7
